€1,872 / month 	 Apt 20 Dunloe Hall, 27 Upper Merrion Street, South City Centre, Dublin 2
€1,425 / month 	 186 Custom House Harbour Apartments, North City Centre, Dublin 1
€1,752 / month 	 16 Bailey's Court, Bailey's Row, North City Centre, Dublin 1
€1,747 / month 	 Apt 1, Bailey's Court, Bailey's Row, North City Centre, Dublin 1
€1,950 / month 	 Apartment, Block C, The Watermill, Bettyglen, Raheny, Dublin 5
€2,000 / month 	 Ard Na Greine, Eaton Brae, Orwell Road, Rathgar , Dublin 6, Dublin
€2,000 / month 	 Shelbourne Park, Ringsend, Dublin 4
€1,969 / month 	 Donnybrook Green, Dublin 4, Dublin
€1,600 / month  -€99 on 16th Oct 19 	 Hazelbrook Apts, Terenure Road West, Terenure, Dublin 6
€2,000 / month  -€200 on 16th Oct 19 	 3 Herbert Park Mews, Ballsbridge, Dublin 4
€1,959 / month  €164 on 4th Oct 19 	 Shrewsbury Block, Dublin 4
€1,660 / month 	 Mount St Annes, Milltown, Dublin 6
€1,900 / month 	 Greenlea Place, Terenure, Dublin 6W
€1,225 / week 	 Creighton Street, Grand Canal Dk, Dublin 2
€795 / week  €200 on 26th Jun 18 	 Northumberland, Ballsbridge, Dublin 4
€875 / week  €70 on 21st Feb 18 	 Charlotte Quay, Grand Canal Dk,   Dublin 2
€1,295 / week 	 Hanover Street East , Dublin 2, Dublin
€1,750 / month 	 Wellington Place, Ballsbridge, Dublin 4
€1,850 / month 	 Grafton Hall, Aungier Street, Dublin 2, Dublin
€1,500 / month 	 Moyne Road, Ranelagh, Dublin 6
